object_id,camp_name,num_employee,employ_others,yes_employ_others,avg_customers,business_type,business_type_clothing,business_type_grocery,business_type_restaurant,business_type_craft,market_condition,market_security,market_depth,cash_food_local,outside_job,competition,income_compare,business_start,sell_food_assistance,sell_food_assistance_yes,customer_locations,customer_locations_camp_change,entrepreneurship_training,training_grow,training_grow_financing,training_grow_training,finances_care,finances_care_underbed,finances_care_remmitances,finances_care_mobile,finances_care_other_text,finances_care_other,business_leave_camp,leave_camp_support_business,id_problem_fequency,ibs,ibs_comm,ibs_saco,ibs_mobile,ibs_microloan,ibs_nobank,key_good_demand_change,x,y,household_money_supply
109,kigeme,2,noemploy,,55,general,FALSE,FALSE,FALSE,FALSE,poor,good,daily,yes,no,five,increased,5/4/2013,,,districtonly,no,no,financing/training,TRUE,TRUE,mobilemoney,FALSE,FALSE,TRUE,FALSE,,yes,weekly,frequent,mobile,FALSE,FALSE,TRUE,FALSE,FALSE,yes,29.52255,-2.48684,
110,kigeme,1,noemploy,,50,grocery/general,FALSE,TRUE,FALSE,FALSE,poor,good,daily,yes,no,five,increased,12/9/2015,,,districtonly,no,yes,financing/training,TRUE,TRUE,mobilemoney/other,FALSE,FALSE,TRUE,TRUE,Bank,no,daily,frequent,saco/mobile,FALSE,TRUE,TRUE,FALSE,FALSE,yes,29.52361,-2.48746,
111,kigeme,1,noemploy,,10,general,FALSE,FALSE,FALSE,FALSE,poor,good,house,yes,no,five,decrease,########,,,districtonly,no,no,financing/training,TRUE,TRUE,mobilemoney,FALSE,FALSE,TRUE,FALSE,,yes,weekly,frequent,mobile/microloan,FALSE,FALSE,TRUE,TRUE,FALSE,no,29.52272,-2.48475,
112,kigeme,1,noemploy,,18,restaurant,FALSE,FALSE,TRUE,FALSE,poor,good,house,yes,no,five,increased,1/19/2017,,,aroundcamp,no,no,financing/training,TRUE,TRUE,other,FALSE,FALSE,FALSE,TRUE,Cooperative,yes,daily,frequent,microloan/mobile,FALSE,FALSE,TRUE,TRUE,FALSE,no,29.52295,-2.48445,
113,mugombwa,1,noemploy,,20,general,FALSE,FALSE,FALSE,FALSE,good,good,house,yes,no,five,decrease,4/30/2014,no,,aroundcamp,no,no,financing,TRUE,FALSE,remittances,FALSE,TRUE,FALSE,FALSE,,no,monthly,monthly,commbank,TRUE,FALSE,FALSE,FALSE,FALSE,yes,29.85071,-2.67612,firewood
114,mugombwa,1,noemploy,,20,general,FALSE,FALSE,FALSE,FALSE,average,good,house,yes,yes,five,increased,########,yes,4,aroundcamp,no,no,financing,TRUE,FALSE,mobilemoney,FALSE,FALSE,TRUE,FALSE,,no,monthly,monthly,mobile,FALSE,FALSE,TRUE,FALSE,FALSE,yes,29.86596,-2.69482,other
115,mugombwa,1,noemploy,,30,general,FALSE,FALSE,FALSE,FALSE,average,good,house,yes,no,five,increased,7/31/2016,no,,aroundcamp,yes,no,financing,TRUE,FALSE,mobilemoney,FALSE,FALSE,TRUE,FALSE,,no,weekly,monthly,mobile,FALSE,FALSE,TRUE,FALSE,FALSE,yes,29.85104,-2.67708,other
116,mugombwa,1,noemploy,,35,general,FALSE,FALSE,FALSE,FALSE,poor,good,house,yes,yes,four,increased,6/4/2014,no,,aroundcamp,yes,no,financing,TRUE,FALSE,remittances,FALSE,TRUE,FALSE,FALSE,,no,daily,monthly,saco,FALSE,TRUE,FALSE,FALSE,FALSE,yes,29.84957,-2.67495,firewood
117,mugombwa,1,noemploy,,20,general,FALSE,FALSE,FALSE,FALSE,poor,good,house,yes,no,five,increased,4/19/2014,no,,aroundcamp,yes,no,financing,TRUE,FALSE,remittances,FALSE,TRUE,FALSE,FALSE,,no,weekly,monthly,saco,FALSE,TRUE,FALSE,FALSE,FALSE,yes,29.85275,-2.67862,firewood
118,kigeme,1,noemploy,,12,business/restaurant,FALSE,FALSE,TRUE,FALSE,good,good,house,yes,no,two,increased,########,,,aroundcamp,yes,no,financing/training,TRUE,TRUE,underbed,TRUE,FALSE,FALSE,FALSE,,no,daily,monthly,nobank,FALSE,FALSE,FALSE,FALSE,TRUE,yes,29.51313,-2.49161,
